"","CardNames","NbDecks","WINRATE_95_MIN"
"1","Castle Garenbrig",1,69.2
"2","Dryad of the Ilysian Grove",1,69.2
"3","Flooded Grove",1,69.2
"4","Valakut, the Molten Pinnacle",1,69.2
"5","Zagoth Triome",1,69.2
"6","Teferi, Hero of Dominaria",14,68.4
"7","Flooded Strand",29,68.2
"8","Temple Garden",29,67.9
"9","Plains",57,67.9
"10","Path to Exile",48,67.7
"11","Marsh Flats",16,67.6
"12","Forest",38,67.5
"13","Breeding Pool",22,67.4
"14","Lurrus of the Dream-Den",23,67.4
"15","Lightning Bolt",44,67.4
"16","Growth Spiral",15,67.3
"17","Raugrin Triome",15,67.3
"18","Uro, Titan of Nature's Wrath",16,67.3
"19","Veil of Summer",22,67.3
"20","Hallowed Fountain",25,67.3
"21","Jace, the Mind Sculptor",13,67.2
"22","Snow-Covered Forest",14,67.2
"23","Windswept Heath",24,67.2
"24","Sunbaked Canyon",17,66.9
"25","Celestial Purge",16,66.8
"26","Mystic Sanctuary",20,66.7
"27","Island",39,66.6
"28","Hour of Promise",11,66.3
"29","Cavern of Souls",19,66.3
"30","Dismember",15,66.1
"31","Monastery Swiftspear",17,66.1
"32","Thoughtseize",26,66.1
"33","Kroxa, Titan of Death's Hunger",12,66
"34","Field of the Dead",14,66
"35","Fatal Push",21,66
"36","Snow-Covered Plains",18,65.8
"37","Engineered Explosives",24,65.8
"38","Force of Negation",29,65.8
"39","Cryptic Command",20,65.7
"40","Teferi, Time Raveler",21,65.7
"41","Snow-Covered Island",23,65.7
"42","Sacred Foundry",12,65.6
"43","Omnath, Locus of Creation",13,65.6
"44","Boil",16,65.6
"45","Aether Vial",21,65.6
"46","Mishra's Bauble",23,65.6
"47","Death's Shadow",10,65.5
"48","Gaea's Blessing",8,65.4
"49","Misty Rainforest",29,65.4
"50","Ashiok, Dream Render",15,65.2
