"","ARCHETYPES","METRIC_COMB"
"1","WURG Control",0.446
"2","Shadow Prowess",0.438
"3","Heliod Combo",0.402
"4","Hammer Time",0.402
"5","Obosh Aggro",0.399
"6","Reclaimer Titan",0.39
"7","KGC Tron",0.373
"8","Sultai Control",0.371
"9","Izzet Prowess",0.356
"10","Ad Nauseam",0.352
"11","Rakdos Midrange",0.351
"12","Burn",0.329
"13","Gifts Storm",0.329
"14","Belcher",0.323
"15","Mono White Taxes",0.322
"16","Oops All Spells",0.321
"17","Mill",0.32
"18","Dredge",0.319
"19","Temur Control",0.315
"20","Amulet Titan",0.309
"21","Gruul Midrange",0.288
"22","Izzet Control",0.284
"23","KGC Amulet Titan",0.274
"24","Scapeshift",0.271
"25","Primeval Titan",0.268
"26","Snoop Goblins",0.261
"27","Spirits",0.255
"28","E Tron",0.245
"29","Infect",0.245
"30","Izzet Living End",0.24
"31","Jund Midrange",0.24
"32","Azorius Control",0.233
"33","Dimir Control",0.229
"34","UBRG Control",0.22
"35","U Tron",0.217
"36","Jeskai Control",0.215
"37","Bant Control",0.21
"38","Devoted",0.2
"39","Bant Blink",0.196
"40","Humans",0.176
"41","Rogues",0.175
"42","Hardened Scales",0.175
"43","Niv To Light",0.167
"44","Simic Control",0.167
"45","Jund Shadow",0.167
"46","Naya Midrange",0.164
"47","Bant Midrange",0.162
"48","Izzet Restore Balance",0.149
"49","Bant Spirits",0.149
"50","Grixis Shadow",0.149
"51","Uroza",0.147
"52","Grinding Breach",0.141
"53","Golos Tron",0.141
"54","Boros Prowess",0.131
"55","Jeskai Ascendancy",0.131
"56","Thopter Urza",0.128
"57","Mardu Midrange",0.128
"58","Yawgmoth",0.128
"59","Omnath Saheeli",0.127
"60","Enduring Ideal",0.11
"61","Kiki Chord",0.109
"62","Orzhov Midrange",0.104
"63","Azorius Taxes",0.08
"64","Boros Taxes",0.07
"65","Boros Land Destruction",0.07
"66","Erayo Prison",0.07
"67","Grishoalbrand",0.07
"68","Merfolk",0.028
"69","Taking Turns",0.028
"70","Polymorph",0.016
"71","Jeskai Breach",0.016
"72","Delver",0.016
"73","Elementals",0.016
"74","Dice Factory Tron",0.016
"75","Red Prison",0.016
