"","CardNames","Presence","WINRATE_AVERAGE"
"1","Teferi, Mage of Zhalfir",0.2,100
"2","Scapeshift",0.4,87.5
"3","Mistcutter Hydra",0.7,84.4
"4","Entrancing Melody",0.7,84.4
"5","Damping Matrix",0.3,80
"6","Boros Garrison",0.2,80
"7","Slayers' Stronghold",0.2,80
"8","Sunhome, Fortress of the Legion",0.2,80
"9","Noxious Revival",0.2,80
"10","Peer Through Depths",0.2,80
"11","Archangel of Thune",0.1,80
"12","Militia Bugler",0.1,80
"13","Reflector Mage",0.1,80
"14","Heartless Act",0.1,80
"15","Abbot of Keral Keep",0.1,80
"16","Chained to the Rocks",0.1,80
"17","Cerulean Wisps",0.1,80
"18","Failure // Comply",0.1,80
"19","Flesh // Blood",0.1,80
"20","Glittering Wish",0.1,80
"21","Mana Confluence",0.1,80
"22","Nagging Thoughts",0.1,80
"23","Scarscale Ritual",0.1,80
"24","Silent Gravestone",0.1,80
"25","Sylvan Caryatid",0.1,80
"26","Worship",0.1,80
"27","Wild Slash",0.1,80
"28","Experimental Frenzy",0.1,80
"29","Goblin Engineer",0.1,80
"30","Abundant Growth",0.3,78.6
"31","Bring to Light",0.2,77.8
"32","Indatha Triome",0.2,77.8
"33","Kaya, Orzhov Usurper",0.2,77.8
"34","Niv-Mizzet Reborn",0.2,77.8
"35","Revoke Existence",0.2,77.8
"36","Sisay, Weatherlight Captain",0.2,77.8
"37","Unmoored Ego",0.2,77.8
"38","Manriki-Gusari",0.2,77.8
"39","Bottle Gnomes",0.2,77.8
"40","Cyclonic Rift",0.2,77.8
"41","Treasure Mage",0.2,77.8
"42","Search for Tomorrow",0.5,77.3
"43","Spectral Sailor",0.6,76.9
"44","Ravenous Trap",1.4,76.2
"45","Eliminate",0.5,76.2
"46","Geier Reach Sanitarium",0.5,76.2
"47","Teferi's Puzzle Box",0.5,76.2
"48","Condemn",1.2,75.9
"49","Emrakul, the Promised End",0.7,75.8
"50","Searing Blood",1,75
