"","ARCHETYPES","WINRATE_AVERAGE"
"1","Naya Prowess",8000
"2","Jeskai Ascendancy",7890
"3","Golgari Elves",7780
"4","Orzhov Taxes",7780
"5","Erayo Prison",7780
"6","KGC Amulet Titan",7760
"7","Dimir Control",7670
"8","Sultai Shadow",7620
"9","Bant Blink",7500
"10","Abzan Company",7500
"11","Selenya Taxes",7500
"12","Golos Tron",7500
"13","Azorius Taxes",7410
"14","Hardened Scales",7390
"15","Devoted",7340
"16","Thopter Urza",7330
"17","Bant Midrange",7240
"18","KGC Tron",7200
"19","Belcher",7190
"20","Omnath Saheeli",7140
"21","Sultai Midrange",7140
"22","Boros Prowess",7140
"23","Mardu Prowess",7140
"24","Naya Midrange",7140
"25","Abzan Taxes",7140
"26","Rakdos Shadow",7140
"27","Grixis Control",7140
"28","Saheeli Combo",7140
"29","Inverter",7140
"30","Heliod Devoted",7140
"31","WURG Blink",7140
"32","Orzhov Midrange",7120
"33","U Tron",7100
"34","Niv To Light",7080
"35","WURG Control",7080
"36","Abzan Midrange",7060
"37","Temur Control",7050
"38","Rakdos Midrange",7030
"39","Hammer Time",7020
"40","Sultai Control",7010
"41","Heliod Combo",7010
"42","Amulet Titan",7000
"43","Crabvine",7000
"44","Polymorph",7000
"45","Reclaimer Titan",7000
"46","Oops All Spells",6990
"47","Obosh Aggro",6980
"48","Rogues",6960
"49","Shadow Prowess",6940
"50","Mono White Taxes",6930
"51","E Tron",6930
"52","UBRG Control",6910
"53","Ad Nauseam",6900
"54","Jund Midrange",6830
"55","Gifts Storm",6810
"56","Dredge",6810
"57","Humans",6790
"58","Izzet Prowess",6790
"59","Bant Spirits",6780
"60","Jund Shadow",6770
"61","Burn",6760
"62","Grixis Shadow",6750
"63","Izzet Control",6710
"64","Gruul Midrange",6670
"65","Mill",6670
"66","Azorius Control",6670
"67","Jeskai Control",6670
"68","Mono Red Prowess",6670
"69","Neobrand",6670
"70","Bant Control",6670
"71","White Devotion",6670
"72","Slivers",6670
"73","Primeval Titan",6670
"74","Izzet Restore Balance",6620
"75","Scapeshift",6610
"76","Spirits",6580
"77","Infect",6520
"78","Merfolk",6520
"79","Snoop Goblins",6520
"80","Boros Land Destruction",6490
"81","Kiki Chord",6480
"82","Mardu Midrange",6470
"83","UBRG Shadow",6470
"84","Esper Control",6430
"85","Bogles",6380
"86","Elementals",6320
"87","Izzet Living End",6280
"88","Selective Oracle",6250
"89","Rakdos Prowess",6130
"90","Taking Turns",6000
"91","Jund Prowess",6000
"92","UBRG Midrange",6000
"93","Tokens",6000
"94","Bushwhacker Zoo",6000
"95","Kuldotha Red",6000
"96","Uroza",6000
"97","Snow Saheeli",6000
"98","Yawgmoth",6000
"99","Esper Shadow",6000
"100","Selesnya Eldrazi",6000
"101","Red Prison",6000
"102","Dice Factory Tron",6000
"103","Jeskai Breach",6000
"104","Enduring Ideal",5950
"105","Selenya Midrange",5790
"106","Golgari Midrange",5710
"107","Jeskai Taxes",5710
"108","G Tron",5710
